000	不限		不限	Open	000	不限	Open	其他	其他	2015-08-10 17:33:18	2.0
010	北京		北京	BEIJING	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010	北京		北京	BEIJING	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010010	东城区		北京	DONGCHENG	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010020	西城区		北京	XICHENG	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010030	朝阳区		北京	CHAOYANG	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010040	崇文区		北京	CHONGWEN	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010050	海淀区		北京	HAIDIAN	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010060	宣武区		北京	XUANWU	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010070	石景山区		北京	SHIJINGSHAN	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010080	门头沟区		北京	MENTOUGOU	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010090	丰台区		北京	FENGTAI	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010100	房山区		北京	FANGSHAN	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010110	大兴区		北京	DAXING	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010120	通州区		北京	TONGZHOU	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010130	顺义区		北京	SHUNYI	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010140	平谷区		北京	PINGGU	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010150	昌平区		北京	CHANGPING	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010160	怀柔区		北京	HUAIROU	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010170	延庆县		北京	YANQING	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
010010180	密云县		北京	MIYUN	010	北京	BEIJING	北京	华北区	2015-08-10 17:33:18	2.0
020	上海		上海	SHANGHAI	020	上海	SHANGHAI	上海	华东区	2015-08-10 17:33:18	2.0
020010	上海		上海	SHANGHAI	020	上海	SHANGHAI	上海	华东区	2015-08-10 17:33:18	2.0
020010010	浦东新区		上海	PUDONG	020	上海	SHANGHAI	上海	华东区	2015-08-10 17:33:18	2.0
020010020	徐汇区		上海	XUHUI	020	上海	SHANGHAI	上海	华东区	2015-08-10 17:33:18	2.0
